all,Team Goal,Objectif de collecte de fonds de l'équipe 
all,Total Members,Membres recrutés 
all,Team Registration,Inscription d'un nouveau membre d'équipe
all,Edit Team Page,Modifier la page de mon équipe
all,View Team Page,Afficher la page de mon équipe
all,Edit Team Donation Page,Modifier la page de mon équipe
all,Print Donation Form,Imprimer le formulaire d’inscription des dons
all,Join Team,Rejoignez nos rangs
all,Team Members,Membres de l'équipe 
all,Donate Now,Faire un don
all,Special Thanks To:,Remerciements particuliers à :
all,Top Fundraisers,Participants champions
all,Top Teams,Équipes championnes
all,Honor Roll,Tableau d’honneur
all,Find a participant,Rechercher un participant
all,View all teams,Statistiques de l'équipe
all,Event Information,Renseignements sur l'activité
all,Event Info,Renseignements sur l'activité
all,Information,Renseignements
all,Give Now,Faire un don
all,Register Here,Créer une page de don
all,Event Home,Page d'accueil
all,Home,Page d'accueil
all,About Us,Qui nous sommes
all,Event Information,Renseignements sur l'activité
all,View Our Sponsors,Afficher la liste de nos commanditaires
all,Visitors,Visiteurs
all,Participant Registration,Créer une page de don
all,Awareness Quiz,Quiz de sensibilisation
all,Sponsor Participant,Soutenir un participant
all,Sponsor a Participant,Soutenir un participant
all,General Donation,Don général
all,Sponsorship Opportunities,Commanditer des activités
all,Auction Registration,Inscription à l'encan
all,Opportunity Drawing,Accès au tirage
all,Volunteer Registration,Inscription des bénévoles
all,Booth Registration,Enregistrement du kiosque
all,Ecommerce Catalog,Catalogue eCommerce
all,Poll,Sondage
all,Participant Headquarters,Mon portail
all,My HQ,Mon portail
all,My Headquarters,Mon portail
all,Main Login,Accès principal
all,Email Friends,Faire parvenir un courriel à vos amis
all,Enter my HQ,Ouvrir mon portail
all,Edit my Site,Modifier ma page personnelle
all,Check Reports,Afficher des rapports
all,Use Tools,Utiliser les outils
all,My HQ,Mon portail
all,My Webpage,Ma page personnelle
all,Reports,Rapports
all,Tools,Outils
all,Community,Collectivité
all,Edit Personal Page ,Modifier ma page personnelle 
all,View Personal Page ,Afficher ma page personnelle 
all,Spread the Word,Passer le mot
all,Send Email,Envoyer
all,Address Book Import ,Importation du carnet d'adresses
all,Email History Log ,Historique des messages
all,Donation Report,Rapport des dons
all,Pledge Entry ,Documentation et promesses de don
all,Edit Profile,Modifier mon profil
all,Edit Login ,Modifier mon accès 
all,Bulletin Board,Babillard collecte de fonds
all,Important Dates,Dates importantes
all,Coach's Corner,Information pour entraîneurs
all,Logout,Fermer
all,"Welcome,",Bienvenue
all,Help,Aide
all,Sign In,Connecter
all,Login,Connecter
all,Goal,Objectif
all,Progress,Progrès
all,Raised,Recueilli
all,Days Left,Jours restants
all,Give,Donner
all,From,de
all,Email,Courriel